No_;Description;Unit Price;Söluflokkur;Item Category Code;ABC-Item;Áfengisgjald (tegund);Base Unit of Measure;Millilítrar;Heiti umboðsmanns;Vendor No_
14112;Roxxoff Blueberry;0;REYNSLA;23;0;3;FL.;275;;500316-0470
14113;Life Club Classic;3756;REYNSLA;16;3;3;PET;500;;500316-0470
14114;Banfi Centine hvítt;1998;SÉRPÖNTUN;02;3;2;FL.;750;;530303-2410
14115;Vinowell Riesling;1499;KJARNI;02;0;2;FL.;750;;530303-2410
14116;Vinowell Dornfelder;1007;REYNSLA;01;0;2;FL.;750;;530303-2410
14120;Jindalee Chardonnay Premium Selection;0;REYNSLA;02;0;2;FL.;750;;700103-3660
14121;H. Brochard Sauvignon Blanc;1250;SÉRPÖNTUN;02;3;2;FL.;750;;600896-2539
14128;The Stump Jump Riesling;2289;REYNSLA;02;0;2;FL.;750;;570203-3980
14147;Tsantali Imiglykos Nemea;2195;SÉRFLOKKUR;01;3;2;FL.;750;;660608-2060
14148;Tsantali Imiglykos Limnos;2155;SÉRFLOKKUR;02;3;2;FL.;750;;660608-2060
14149;Messias Reserva;1999;SÉRFLOKKUR;01;3;2;FL.;750;;601083-0789
14150;Messias Vinho Verde;0;SÉRFLOKKUR;02;3;2;FL.;750;;640102-4110
14165;Aecht Schlenkerla Rauchbier;699;SÉRFLOKKUR;60;3;1;FL.;500;;601083-0789
14166;Samuel Adams Cream Stout;458;SÉRPÖNTUN;61;3;1;FL.;355;;601083-0789
14167;Anchor Porter;698;SÉRFLOKKUR;61;3;1;FL.;355;;601083-0789
14168;Timmermans Peach;0;SÉRFLOKKUR;62;3;1;FL.;250;;601083-0789
14169;Timmermans Framboise;0;SÉRFLOKKUR;62;3;1;FL.;250;;601083-0789
14170;Weihenstephaner Dunkel Hefe Weissbier;599;SÉRFLOKKUR;62;3;1;FL.;500;;601083-0789
14172;Jindalee Pinot Noir Premium Selection;0;REYNSLA;01;0;2;FL.;750;;700103-3660
14173;Roxxoff Cran-Kit (Cranberry);0;REYNSLA;23;0;3;FL.;275;;500316-0470
14174;Roxxoff Orange;0;REYNSLA;23;0;3;FL.;275;;500316-0470
14175;Roxxoff Lemon;0;REYNSLA;23;0;3;FL.;275;;500316-0470
14179;Roxxoff Pink Passion;0;REYNSLA;23;0;3;FL.;275;;500316-0470
14181;Bulmer's Strongbow;0;REYNSLA;06;0;2;DS.;500;;550394-2359
14187;Cono Sur Bicicleta Viognier;1950;REYNSLA;02;3;2;FL.;750;;550394-2359
14188;Feudi di San Marzano Negroamaro;4995;KJARNI;01;0;2;BOX;3000;;550394-2359
14189;Feudi di San Marzano Aglianico;1750;REYNSLA;01;0;2;FL.;750;;550394-2359
14190;Feudi di San Marzano Salice Salentino;1750;REYNSLA;01;0;2;FL.;750;;550394-2359
14191;Feudi di San Marzano Negro Amaro;1750;KJARNI;01;0;2;FL.;750;;550394-2359
14192;Feudi di San Marzano Primitivo;1750;KJARNI;01;0;2;FL.;750;;550394-2359
14193;Greenall's Bloom Premium London Dry;6431;REYNSLA;17;0;3;FL.;700;;550394-2359
14196;Skriðjökull;323;REYNSLA;60;0;1;FL.;330;;630807-0770
14205;Pescador Rose Garnacha Cabernet Sauvignon;1996;SÉRFLOKKUR;03;3;2;FL.;750;;460999-2519
14208;Scapa 16 ára;11999;SÉRPÖNTUN;13;3;3;FL.;700;;550595-2579
14214;35 South Chardonnay Reserve;1699;REYNSLA;02;0;2;FL.;750;;420369-7789
14215;M. Chapoutier Coteaux-du-Tricastin;2498;REYNSLA;01;0;2;FL.;750;;470205-0400
14217;JP. Chenet Colombard-Chardonnay;0;REYNSLA;02;0;2;BOX;3000;;550595-2579
14218;Arthur Metz Riesling;5499;REYNSLA;02;1;2;BOX;3000;;550595-2579
14219;Rauð belja;0;REYNSLA;01;3;2;BOX;3000;;570203-3980
14220;Hvít belja;0;REYNSLA;02;3;2;BOX;3000;;570203-3980
14221;Bertani Soave;1990;KJARNI;02;0;2;FL.;750;;470169-1419
14222;Bertani Valpolicella;1990;REYNSLA;01;0;2;FL.;750;;470169-1419
14225;Guntrum Hvítvín;1099;KJARNI;02;0;2;FL.;750;;570169-0339
14230;JP. Chenet Colombard-Chardonnay;3499;REYNSLA;02;0;2;BOX;2000;;550595-2579
14231;Life Club Classic;4959;REYNSLA;16;0;3;PET;700;;500316-0470
14232;Baroncini Morellino di Scansano Le Mandorlae;1770;REYNSLA;01;0;2;FL.;750;;490708-0140
14233;Baroncini Rosso di Montepulciano Fontelellera;1899;SÉRFLOKKUR;01;3;2;FL.;750;;490708-0140
14234;Baroncini Chianti;1599;REYNSLA;01;0;2;FL.;750;;490708-0140
14235;Baroncini 1489 Libra Orvieto Classico;1496;REYNSLA;02;0;2;FL.;750;;490708-0140
14236;Baroncini Toscana Rosso;1499;REYNSLA;01;0;2;FL.;750;;490708-0140
14237;Pommier Petit-Chablis;2390;REYNSLA;02;0;2;FL.;750;;700103-3660
14240;M. Chapoutier La Ciboise;1999;KJARNI;01;0;2;FL.;750;;470205-0400
14241;Ardales Tempranillo Crianza en Barrica;2290;KJARNI;01;0;2;FL.;750;;700103-3660
14242;Ardales Airen;1867;REYNSLA;02;0;2;FL.;750;;700103-3660
14246;The Stump Jump Lightly Wooded Chardonnay;1890;SÉRPÖNTUN;02;3;2;FL.;750;;570203-3980
14247;Chateau Mourgues du Gres Les Galets Dores;2090;SÉRPÖNTUN;02;3;2;FL.;750;;570203-3980
14248;Chateau Mourgues du Gres Les Galets Rouges;1559;SÉRPÖNTUN;01;3;2;FL.;500;;570203-3980
14249;Chateau Mourgues du Gres Terre de Feu;2689;SÉRPÖNTUN;01;3;2;FL.;750;;570203-3980
14250;Pere Magloire VSOP;4699;SÉRFLOKKUR;11;3;3;FL.;500;;420369-7789
14251;City of London;5290;REYNSLA;17;0;3;FL.;700;;650914-0150
14252;Scorpion Tequila Gold;5390;REYNSLA;15;0;3;FL.;700;;470169-1419
